file_name,cell_id,track_id,radius_of_gyration,log_rg
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,880,2.242269928,0.807488714
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,883,2.821150677,1.037144843
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,907,1.460141001,0.378533007
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,928,2.35536596,0.856696112
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,961,0.470167313,-0.754666663
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,979,0.309021861,-1.174343258
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,994,0.456957531,-0.783164822
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,1054,0.561751424,-0.576695832
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,1066,1.186981037,0.17141314
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,1079,0.421511407,-0.863908439
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,1113,0.260198234,-1.346311501
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,1141,0.523973347,-0.646314461
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,1278,1.549919771,0.438203169
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,5,1387,1.354761587,0.303625488
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,56,0.979667046,-0.020542514
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,130,0.593469157,-0.521770034
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,167,1.684889583,0.521700032
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,316,1.854955189,0.617860539
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,344,3.034958717,1.110197822
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,356,1.822794847,0.600370953
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,395,2.792992423,1.027113574
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,474,0.557014423,-0.585164145
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,578,1.736607814,0.551933678
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,584,3.375447033,1.21652777
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,645,0.508419383,-0.676448615
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,742,0.369869133,-0.994606031
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,815,2.693179519,0.990722473
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,852,1.684766923,0.52162723
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,863,0.436348439,-0.829314182
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,935,1.656067824,0.504446012
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,993,0.55144782,-0.595208059
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,1036,0.592233315,-0.523854608
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,1059,0.657788769,-0.418871419
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,1063,0.674199404,-0.39422936
MAX_20240123_Rfa1_fast_549_10ms_60%_CPT_40uM_50nmDye_15,6,1067,0.674555992,-0.393700595
